epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,3548.82,0.66233,0.78299,1.05467,0.91619,0.92275,0.95204,0.81294,0.60563,0.64797,1.03162,0.0001288,0.0001288,0.0001288
90,3589.61,0.66173,0.78778,1.06323,0.92381,0.91865,0.95249,0.81738,0.60381,0.64364,1.03142,0.0001189,0.0001189,0.0001189
91,3629.62,0.61293,0.94853,1.04209,0.91157,0.91048,0.94854,0.80637,0.62529,0.67209,1.04519,0.000109,0.000109,0.000109
92,3669.31,0.59415,0.88881,1.03599,0.92639,0.90742,0.94956,0.80991,0.61689,0.65481,1.03933,9.91e-05,9.91e-05,9.91e-05
93,3707.58,0.59733,0.8769,1.04202,0.92595,0.90962,0.95112,0.81404,0.61246,0.64869,1.03704,8.92e-05,8.92e-05,8.92e-05
94,3746.52,0.58603,0.86601,1.0255,0.92458,0.91784,0.95179,0.81539,0.61078,0.64131,1.03563,7.93e-05,7.93e-05,7.93e-05
95,3786.45,0.58953,0.85595,1.02987,0.9234,0.91811,0.95249,0.81651,0.61053,0.64207,1.03487,6.94e-05,6.94e-05,6.94e-05
96,3824.22,0.58731,0.84817,1.02214,0.93304,0.91518,0.95244,0.81548,0.61043,0.64025,1.0346,5.95e-05,5.95e-05,5.95e-05
97,3861.84,0.59544,0.85424,1.02988,0.93387,0.91276,0.95177,0.81583,0.61053,0.63883,1.03436,4.96e-05,4.96e-05,4.96e-05
98,3907.25,0.58312,0.84513,1.03067,0.93202,0.91885,0.95336,0.81819,0.6065,0.63142,1.03169,3.97e-05,3.97e-05,3.97e-05
99,3946.06,0.58263,0.84309,1.02628,0.93519,0.91613,0.95396,0.81992,0.60633,0.62955,1.03184,2.98e-05,2.98e-05,2.98e-05
100,3991.9,0.58016,0.84542,1.01965,0.93846,0.9137,0.9536,0.81964,0.60653,0.63181,1.03131,1.99e-05,1.99e-05,1.99e-05
